,epochs,loss_train,loss_valid,acc_train,acc_valid
0,1.0,1.386,1.159,0.436,0.527
1,2.0,0.955,0.807,0.644,0.715
2,3.0,0.72,0.691,0.738,0.735
3,4.0,0.52,0.638,0.832,0.752
4,5.0,0.412,0.587,0.862,0.79
5,6.0,0.311,0.615,0.903,0.775
6,7.0,0.27,0.58,0.926,0.796
7,8.0,0.221,0.586,0.934,0.802
8,9.0,0.162,0.598,0.952,0.796
9,10.0,0.14,0.608,0.961,0.798
10,11.0,0.139,0.629,0.954,0.781
11,12.0,0.101,0.603,0.972,0.812
12,13.0,0.096,0.636,0.974,0.812
13,14.0,0.082,0.681,0.979,0.792
14,15.0,0.087,0.665,0.974,0.815
15,16.0,0.082,0.626,0.977,0.815
16,17.0,0.069,0.634,0.98,0.817
17,18.0,0.072,0.659,0.975,0.815
18,19.0,0.052,0.648,0.985,0.808
19,20.0,0.044,0.613,0.99,0.817
20,21.0,0.04,0.681,0.987,0.821
21,22.0,0.044,0.659,0.987,0.812
22,23.0,0.05,0.734,0.984,0.798
23,24.0,0.049,0.723,0.986,0.815
24,25.0,0.037,0.681,0.991,0.823
25,26.0,0.043,0.734,0.984,0.804
26,27.0,0.031,0.664,0.99,0.812
27,28.0,0.028,0.71,0.992,0.815
28,29.0,0.033,0.732,0.99,0.827
29,30.0,0.048,0.696,0.986,0.804
30,31.0,0.042,0.675,0.988,0.831
31,32.0,0.04,0.711,0.986,0.81
32,33.0,0.056,0.674,0.983,0.829
33,34.0,0.037,0.652,0.989,0.827
34,35.0,0.043,0.687,0.986,0.825
35,36.0,0.036,0.715,0.986,0.825
36,37.0,0.026,0.692,0.991,0.831
37,38.0,0.028,0.724,0.99,0.819
38,39.0,0.034,0.726,0.99,0.812
39,40.0,0.03,0.801,0.991,0.812
40,41.0,0.027,0.745,0.992,0.831
41,42.0,0.024,0.705,0.992,0.844
42,43.0,0.024,0.716,0.993,0.84
43,44.0,0.033,0.778,0.989,0.833
44,45.0,0.031,0.795,0.989,0.829
45,46.0,0.031,0.744,0.991,0.835
46,47.0,0.04,0.724,0.99,0.842
47,48.0,0.04,0.767,0.984,0.821
48,49.0,0.04,0.789,0.985,0.833
49,50.0,0.03,0.828,0.988,0.804
